brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size
63967,for_sale,9900,2,1,0.13,798491,Inkster,Michigan,48141,808
98474,for_sale,483500,4,4,5,1538869,Ottawa Lake,Michigan,49267,3565
75202,for_sale,125000,3,2,0.14,81756,Westland,Michigan,48186,1135
13061,for_sale,109900,3,1,0.09,314326,Detroit,Michigan,48223,1228
35524,for_sale,169900,3,3,0.41,545314,Niles,Michigan,49120,2100
79460,for_sale,339900,3,3,0.48,1093874,Bridgman,Michigan,49106,2196
56189,for_sale,650000,3,2,0.65,435092,Union Pier,Michigan,49129,1705
74532,for_sale,184900,2,2,1.44,1541394,Eau Claire,Michigan,49111,2165
22025,for_sale,199900,4,4,0.2,1203957,Niles,Michigan,49120,3715
23545,for_sale,175000,4,1,0.13,1068301,Hazel Park,Michigan,48030,1312
81326,for_sale,240900,3,1,0.6,1221515,Clinton Township,Michigan,48038,1057
33736,for_sale,585000,4,3,0.26,495711,Macomb,Michigan,48044,3060
926,for_sale,199000,1,1,0.39,1534081,West Bloomfield Township,Michigan,48324,599
53470,for_sale,49900,3,2,0.08,781390,Detroit,Michigan,48238,1056
53470,for_sale,27999,2,1,0.19,1356743,Detroit,Michigan,48224,742
53564,for_sale,299900,4,3,0.17,140498,Sterling Heights,Michigan,48312,1980
101557,for_sale,35000,4,1,0.1,926007,Detroit,Michigan,48206,1758
23074,for_sale,829900,4,3,0.51,813891,Ann Arbor,Michigan,48104,2800
29119,for_sale,45000,3,1,0.13,351886,Detroit,Michigan,48213,1480
52528,for_sale,620000,3,2,1.42,1022669,Saline,Michigan,48176,2064
38165,for_sale,1289000,4,4,5.55,650568,Green Oak Township,Michigan,48178,3100
22562,for_sale,340000,3,2,1.19,1827522,Iosco Township,Michigan,48137,1673
15565,for_sale,175000,3,2,0.18,428455,Romulus,Michigan,48174,1238
15565,for_sale,49000,2,1,0.14,1044905,Mount Morris Township,Michigan,48186,825
14030,for_sale,699000,3,3,0.17,281084,Rochester,Michigan,48307,3400
104274,for_sale,781170,4,4,0.3,339966,Shelby Township,Michigan,48315,3305
76813,for_sale,994500,3,3,27.63,432945,Milford,Michigan,48380,2243
50816,for_sale,459900,4,4,0.25,1485738,Grand Blanc,Michigan,48439,3185
79015,for_sale,45900,2,1,0.1,825037,Flint,Michigan,48506,995
4345,for_sale,139900,1,2,1.73,1241610,Otter Lake,Michigan,48464,1640
17009,for_sale,1300000,5,5,120,700178,Deerfield,Michigan,48461,4656
52804,for_sale,789900,4,4,0.41,1305079,Shelby Township,Michigan,48317,3169
78852,for_sale,69900,3,1,0.33,1128419,Bridgeport,Michigan,48601,1152
19688,for_sale,344900,4,3,2.8,145763,Flushing,Michigan,48433,2404
16144,for_sale,44000,3,2,0.13,443621,Saginaw,Michigan,48602,966
65529,for_sale,115000,3,2,0.37,347372,Saginaw,Michigan,48638,1730
79404,for_sale,199900,4,2,0.25,1415636,Saginaw,Michigan,48603,1872
108156,for_sale,79900,2,1,0.26,20390,Saginaw,Michigan,48609,1036
22566,for_sale,229900,4,3,0.55,241287,Perry,Michigan,48872,2192
22342,for_sale,144900,2,2,9,1684478,Laingsburg,Michigan,48848,2000
79160,for_sale,140000,3,2,1.5,1398899,Alger,Michigan,48610,1200
4779,for_sale,215000,4,2,0.23,1170942,Saint Louis,Michigan,48880,1900
78852,for_sale,81000,3,1,0.24,1131210,Bay City,Michigan,48706,1283
42411,for_sale,82500,2,1,0.33,293811,Harrison,Michigan,48625,984
22894,for_sale,399900,2,1,0.28,1644733,Houghton Lake,Michigan,48629,1152
15941,for_sale,37000,2,1,0.4,1491367,Prudenville,Michigan,48651,903
22342,for_sale,315000,4,3,0.44,887695,East Lansing,Michigan,48823,2182
79179,for_sale,130000,4,2,0.33,1107602,Lansing,Michigan,48910,1848
80984,for_sale,435000,3,4,1,1512490,Caledonia,Michigan,49316,3365
52708,for_sale,490000,4,3,0.4,1648141,Ada,Michigan,49301,3060
94773,for_sale,329900,3,2,1.78,225150,Cedar Springs,Michigan,49319,1700
22408,for_sale,118888,3,1,2.67,557363,Barryton,Michigan,49305,1000
22340,for_sale,299900,3,2,0.82,1827621,Olivet,Michigan,49076,1712
104033,for_sale,330000,4,5,0.16,1651553,Jackson,Michigan,49203,3170
35542,for_sale,296900,3,3,0.46,1571411,Jackson,Michigan,49201,2080
33736,for_sale,190000,4,2,0.48,1469831,Battle Creek,Michigan,49017,1904
35527,for_sale,525000,5,3,0.82,1516514,Portage,Michigan,49024,4529
20677,for_sale,410000,5,4,0.76,886049,Kalamazoo,Michigan,49009,3980
20982,for_sale,1149900,5,4,2.13,1745124,Byron Center,Michigan,49315,5830
79460,for_sale,539000,4,4,0.38,856810,Saint Joseph,Michigan,49085,3546
22888,for_sale,735900,4,3,4.5,838819,Conklin,Michigan,49403,3537
40147,for_sale,275000,1,1,0.26,912762,Twin Lake,Michigan,49457,802
52709,for_sale,554900,4,3,1.01,1750739,Rockford,Michigan,49341,2535
78398,for_sale,322900,3,2,35,1030770,Evart,Michigan,49631,1596
24286,for_sale,359000,4,4,0.34,1185061,Fruitport,Michigan,49415,2592
9906,for_sale,139000,3,1,0.06,1737095,Grand Rapids,Michigan,49504,1014
52708,for_sale,175000,2,1,0.02,1013678,Wyoming,Michigan,49548,1320
22888,for_sale,135000,3,1,8.4,1648658,Montague,Michigan,49437,1100
63446,for_sale,189900,6,4,0.24,725698,Muskegon,Michigan,49444,2631
15345,for_sale,599900,4,3,0.57,451776,Spring Lake,Michigan,49456,2960
72369,for_sale,57500,3,1,1.5,79204,Manistee,Michigan,49660,1200
82345,for_sale,90000,2,1,0.37,1226635,Traverse City,Michigan,49685,672
15941,for_sale,314900,4,2,0.69,62178,Interlochen,Michigan,49643,1392
15941,for_sale,389900,4,4,0.56,1507480,Alpena,Michigan,49707,3237
22884,for_sale,499900,3,3,19.77,1024108,Harbor Springs,Michigan,49740,2400
94391,for_sale,99900,2,1,0.14,394437,Kingsford,Michigan,49802,936
22290,for_sale,303165,4,3,0.19,650468,Monroe,Michigan,48162,2110
52809,for_sale,74900,3,1,0.13,513623,Detroit,Michigan,48219,1000
82294,for_sale,47000,3,1,0.24,751287,Detroit,Michigan,48219,1006
78412,for_sale,249900,3,2,0.17,267761,Sterling Heights,Michigan,48312,1143
68808,for_sale,104900,2,1,0.14,1184837,Saginaw,Michigan,48602,1332
68872,for_sale,93500,3,2,0.23,1677976,Saint Johns,Michigan,48879,1662
